Date,HomeTeam,AwayTeam,FTR
2019-04-01,Arsenal,Newcastle,
2019-04-02,Watford,Fulham,
2019-04-02,Wolves,Man Utd,
2019-04-03,Chelsea,Brighton,
2019-04-03,Spurs,Crystal Palace,
2019-04-03,Man City,Cardiff,
2019-04-05,Southampton,Liverpool,
2019-04-06,Bournemouth,Burnley,
2019-04-06,Huddersfield,Leicester,
2019-04-06,Newcastle,Crystal Palace,
2019-04-07,Everton,Arsenal,
2019-04-08,Chelsea,West Ham,
2019-04-12,Leicester,Newcastle,
2019-04-13,Spurs,Huddersfield,
2019-04-13,Brighton,Bournemouth,
2019-04-13,Burnley,Cardiff,
2019-04-13,Fulham,Everton,
2019-04-13,Southampton,Wolves,
2019-04-13,Man Utd,West Ham,
2019-04-14,Crystal Palace,Man City,
2019-04-14,Liverpool,Chelsea,
2019-04-15,Watford,Arsenal,
2019-04-16,Brighton,Cardiff,
2019-04-20,Man City,Spurs,
2019-04-20,Bournemouth,Fulham,
2019-04-20,Huddersfield,Watford,
2019-04-20,West Ham,Leicester,
2019-04-20,Wolves,Brighton,
2019-04-20,Newcastle,Southampton,
2019-04-21,Everton,Man Utd,
2019-04-21,Arsenal,Crystal Palace,
2019-04-21,Cardiff,Liverpool,
2019-04-22,Chelsea,Burnley,
2019-04-23,Watford,Southampton,
2019-04-23,Spurs,Brighton,
2019-04-24,Wolves,Arsenal,
2019-04-24,Man Utd,Man City,
2019-04-26,Liverpool,Huddersfield,
2019-04-27,Spurs,West Ham,
2019-04-27,Crystal Palace,Everton,
2019-04-27,Fulham,Cardiff,
2019-04-27,Southampton,Bournemouth,
2019-04-27,Watford,Wolves,
2019-04-27,Brighton,Newcastle,
2019-04-28,Burnley,Man City,
2019-04-28,Man Utd,Chelsea,
2019-04-29,Leicester,Arsenal,
2019-05-04,Arsenal,Brighton,
2019-05-04,Bournemouth,Spurs,
2019-05-04,Cardiff,Crystal Palace,
2019-05-04,Chelsea,Watford,
2019-05-04,Everton,Burnley,
2019-05-04,Huddersfield,Man Utd,
2019-05-04,Man City,Leicester,
2019-05-04,Newcastle,Liverpool,
2019-05-04,West Ham,Southampton,
2019-05-04,Wolves,Fulham,
2019-05-12,Brighton,Man City,
2019-05-12,Burnley,Arsenal,
2019-05-12,Crystal Palace,Bournemouth,
2019-05-12,Fulham,Newcastle,
2019-05-12,Leicester,Chelsea,
2019-05-12,Liverpool,Wolves,
2019-05-12,Man Utd,Cardiff,
2019-05-12,Southampton,Huddersfield,
2019-05-12,Spurs,Everton,
2019-05-12,Watford,West Ham,
