,Date,HomeTeam,AwayTeam,FTR
0,2019-04-01,Arsenal,Newcastle,H
1,2019-04-02,Watford,Fulham,A
2,2019-04-02,Wolves,Man United,A
3,2019-04-03,Chelsea,Brighton,H
4,2019-04-03,Tottenham,Crystal Palace,H
5,2019-04-03,Man City,Cardiff,D
6,2019-04-05,Southampton,Liverpool,A
7,2019-04-06,Bournemouth,Burnley,H
8,2019-04-06,Huddersfield,Leicester,H
9,2019-04-06,Newcastle,Crystal Palace,H
10,2019-04-07,Everton,Arsenal,A
11,2019-04-08,Chelsea,West Ham,H
12,2019-04-12,Leicester,Newcastle,H
13,2019-04-13,Tottenham,Huddersfield,H
14,2019-04-13,Brighton,Bournemouth,H
15,2019-04-13,Burnley,Cardiff,A
16,2019-04-13,Fulham,Everton,A
17,2019-04-13,Southampton,Wolves,H
18,2019-04-13,Man United,West Ham,H
19,2019-04-14,Crystal Palace,Man City,A
20,2019-04-14,Liverpool,Chelsea,H
21,2019-04-15,Watford,Arsenal,A
22,2019-04-16,Brighton,Cardiff,H
23,2019-04-20,Man City,Tottenham,A
24,2019-04-20,Bournemouth,Fulham,A
25,2019-04-20,Huddersfield,Watford,H
26,2019-04-20,West Ham,Leicester,H
27,2019-04-20,Wolves,Brighton,H
28,2019-04-20,Newcastle,Southampton,H
29,2019-04-21,Everton,Man United,H
30,2019-04-21,Arsenal,Crystal Palace,H
31,2019-04-21,Cardiff,Liverpool,A
32,2019-04-22,Chelsea,Burnley,H
33,2019-04-23,Watford,Southampton,H
34,2019-04-23,Tottenham,Brighton,H
35,2019-04-24,Wolves,Arsenal,A
36,2019-04-24,Man United,Man City,A
37,2019-04-26,Liverpool,Huddersfield,H
38,2019-04-27,Tottenham,West Ham,H
39,2019-04-27,Crystal Palace,Everton,H
40,2019-04-27,Fulham,Cardiff,A
41,2019-04-27,Southampton,Bournemouth,H
42,2019-04-27,Watford,Wolves,H
43,2019-04-27,Brighton,Newcastle,H
44,2019-04-28,Burnley,Man City,A
45,2019-04-28,Man United,Chelsea,A
46,2019-04-29,Leicester,Arsenal,A
47,2019-05-04,Arsenal,Brighton,H
48,2019-05-04,Bournemouth,Tottenham,A
49,2019-05-04,Cardiff,Crystal Palace,H
50,2019-05-04,Chelsea,Watford,H
51,2019-05-04,Everton,Burnley,H
52,2019-05-04,Huddersfield,Man United,H
53,2019-05-04,Man City,Leicester,H
54,2019-05-04,Newcastle,Liverpool,A
55,2019-05-04,West Ham,Southampton,H
56,2019-05-04,Wolves,Fulham,A
57,2019-05-12,Brighton,Man City,A
58,2019-05-12,Burnley,Arsenal,A
59,2019-05-12,Crystal Palace,Bournemouth,H
60,2019-05-12,Fulham,Newcastle,D
61,2019-05-12,Leicester,Chelsea,A
62,2019-05-12,Liverpool,Wolves,H
63,2019-05-12,Man United,Cardiff,H
64,2019-05-12,Southampton,Huddersfield,H
65,2019-05-12,Tottenham,Everton,H
66,2019-05-12,Watford,West Ham,H
