,Date,HomeTeam,AwayTeam,FTR,A_p,D_p,H_p
0,2019-04-01,Arsenal,Newcastle,H,0.07182610034942627,0.21621745824813843,0.7119565010070801
1,2019-04-02,Watford,Fulham,D,0.2366958111524582,0.6705054640769958,0.09279871731996536
2,2019-04-02,Wolves,Man United,A,0.38964390754699707,0.31736648082733154,0.2929896414279938
3,2019-04-03,Chelsea,Brighton,H,0.1512410044670105,0.23009401559829712,0.6186649799346924
4,2019-04-03,Tottenham,Crystal Palace,H,0.025641506537795067,0.22359412908554077,0.7507643699645996
5,2019-04-03,Man City,Cardiff,D,0.28336748480796814,0.4443168640136719,0.2723156809806824
6,2019-04-05,Southampton,Liverpool,A,0.45780378580093384,0.3184248208999634,0.22377139329910278
7,2019-04-06,Bournemouth,Burnley,H,0.17152321338653564,0.39376628398895264,0.43471047282218933
8,2019-04-06,Huddersfield,Leicester,H,0.16593462228775024,0.3076079487800598,0.5264574289321899
9,2019-04-06,Newcastle,Crystal Palace,H,0.2853120267391205,0.22972965240478516,0.484958291053772
10,2019-04-07,Everton,Arsenal,A,0.4534280300140381,0.3808603584766388,0.16571158170700073
11,2019-04-08,Chelsea,West Ham,H,0.22635778784751892,0.33310630917549133,0.4405359625816345
12,2019-04-12,Leicester,Newcastle,H,0.13546593487262726,0.34429869055747986,0.5202354192733765
13,2019-04-13,Tottenham,Huddersfield,H,0.015873469412326813,0.1804078221321106,0.8037186861038208
14,2019-04-13,Brighton,Bournemouth,H,0.2002326101064682,0.3239063024520874,0.4758610427379608
15,2019-04-13,Burnley,Cardiff,D,0.28076931834220886,0.3957732021808624,0.3234575092792511
16,2019-04-13,Fulham,Everton,D,0.3219796419143677,0.4407462179660797,0.237274169921875
17,2019-04-13,Southampton,Wolves,H,0.17826563119888306,0.37005937099456787,0.4516749680042267
18,2019-04-13,Man United,West Ham,H,0.07741706818342209,0.3533112704753876,0.5692716836929321
19,2019-04-14,Crystal Palace,Man City,A,0.4794800579547882,0.4650498926639557,0.05547012388706207
20,2019-04-14,Liverpool,Chelsea,H,0.2336193323135376,0.23794981837272644,0.5284308195114136
21,2019-04-15,Watford,Arsenal,D,0.3189963400363922,0.49660688638687134,0.18439681828022003
22,2019-04-16,Brighton,Cardiff,H,0.24948564171791077,0.36961638927459717,0.38089796900749207
23,2019-04-20,Man City,Tottenham,A,0.5208954811096191,0.3507488965988159,0.12835565209388733
24,2019-04-20,Bournemouth,Fulham,D,0.38411641120910645,0.5369057655334473,0.07897771149873734
25,2019-04-20,Huddersfield,Watford,H,0.1915046125650406,0.2868667244911194,0.5216286182403564
26,2019-04-20,West Ham,Leicester,H,0.20746812224388123,0.2861082851886749,0.5064235925674438
27,2019-04-20,Wolves,Brighton,H,0.23368600010871887,0.28785163164138794,0.47846242785453796
28,2019-04-20,Newcastle,Southampton,H,0.29642578959465027,0.2974037528038025,0.40617048740386963
29,2019-04-21,Everton,Man United,H,0.24561074376106262,0.3348579704761505,0.41953134536743164
30,2019-04-21,Arsenal,Crystal Palace,H,0.06487035006284714,0.33063021302223206,0.6044994592666626
31,2019-04-21,Cardiff,Liverpool,A,0.5042160749435425,0.29103633761405945,0.20474755764007568
32,2019-04-22,Chelsea,Burnley,H,0.1935415416955948,0.30400341749191284,0.5024549961090088
33,2019-04-23,Watford,Southampton,D,0.1004970371723175,0.4613039791584015,0.438198983669281
34,2019-04-23,Tottenham,Brighton,H,0.018409302458167076,0.1615050733089447,0.8200855851173401
35,2019-04-24,Wolves,Arsenal,A,0.5322133302688599,0.37274131178855896,0.09504538029432297
36,2019-04-24,Man United,Man City,D,0.26368170976638794,0.6495550274848938,0.08676329255104065
37,2019-04-26,Liverpool,Huddersfield,H,0.02053528092801571,0.22386400401592255,0.7556006908416748
38,2019-04-27,Tottenham,West Ham,H,0.06114790216088295,0.2235994040966034,0.715252697467804
39,2019-04-27,Crystal Palace,Everton,H,0.30340126156806946,0.33974263072013855,0.356856107711792
40,2019-04-27,Fulham,Cardiff,D,0.37404975295066833,0.43121233582496643,0.1947379857301712
41,2019-04-27,Southampton,Bournemouth,H,0.23980121314525604,0.3094944357872009,0.450704425573349
42,2019-04-27,Watford,Wolves,H,0.088639996945858,0.4273322820663452,0.48402777314186096
43,2019-04-27,Brighton,Newcastle,H,0.13116729259490967,0.31360986828804016,0.5552228689193726
44,2019-04-28,Burnley,Man City,A,0.5273168683052063,0.4383964240550995,0.03428669646382332
45,2019-04-28,Man United,Chelsea,D,0.1921318918466568,0.4345396161079407,0.3733285665512085
46,2019-04-29,Leicester,Arsenal,D,0.3999983072280884,0.41180261969566345,0.18819911777973175
47,2019-05-04,Arsenal,Brighton,H,0.042215391993522644,0.3264705240726471,0.6313140392303467
48,2019-05-04,Bournemouth,Tottenham,A,0.3992236852645874,0.38426631689071655,0.21650996804237366
49,2019-05-04,Cardiff,Crystal Palace,H,0.28325819969177246,0.11186083406209946,0.6048809289932251
50,2019-05-04,Chelsea,Watford,H,0.21136397123336792,0.27544695138931274,0.5131891369819641
51,2019-05-04,Everton,Burnley,H,0.13290509581565857,0.35541653633117676,0.5116783380508423
52,2019-05-04,Huddersfield,Man United,H,0.28278648853302,0.2995411157608032,0.41767236590385437
53,2019-05-04,Man City,Leicester,H,0.176870658993721,0.2718462347984314,0.5512831211090088
54,2019-05-04,Newcastle,Liverpool,A,0.4718835651874542,0.3676939010620117,0.16042250394821167
55,2019-05-04,West Ham,Southampton,H,0.2204178124666214,0.3014772832393646,0.4781048595905304
56,2019-05-04,Wolves,Fulham,A,0.5228791236877441,0.44005173444747925,0.03706919774413109
57,2019-05-12,Brighton,Man City,A,0.4775308072566986,0.4578728675842285,0.06459634751081467
58,2019-05-12,Burnley,Arsenal,A,0.489976704120636,0.3930097222328186,0.1170135959982872
59,2019-05-12,Crystal Palace,Bournemouth,H,0.26396793127059937,0.2954132556915283,0.4406187832355499
60,2019-05-12,Fulham,Newcastle,H,0.23768600821495056,0.36049485206604004,0.401819109916687
61,2019-05-12,Leicester,Chelsea,D,0.3674021363258362,0.3790869116783142,0.253510981798172
62,2019-05-12,Liverpool,Wolves,H,0.05633201077580452,0.1732599139213562,0.770408034324646
63,2019-05-12,Man United,Cardiff,H,0.08228161931037903,0.33665624260902405,0.5810621380805969
64,2019-05-12,Southampton,Huddersfield,H,0.17316246032714844,0.2980421185493469,0.5287954211235046
65,2019-05-12,Tottenham,Everton,H,0.06912292540073395,0.23642636835575104,0.6944507360458374
66,2019-05-12,Watford,West Ham,D,0.11634163558483124,0.49890851974487305,0.38474977016448975
